廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,24,4.0504,97.21,10949,13216
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,34,3.6597,124.43,10968,14351
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,20,5.5045,110.09,7229,9400
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,40,2.7008,108.03,11561,15519
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,2,4.185,8.37,900,1173
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,6,4.26,25.56,2726,3217
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,0,,1.08,91,96
0307 用知識發光 - 複本,120240827446360783,L11-30-50 創業 0917,,1,1.0,1.0,155,156
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,13,4.5169,58.72,7393,9752
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,29,3.0969,89.81,9191,12092
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,15,3.1067,46.6,2267,4030
