廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,83,3.4034,282.48,23370,34299
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,110,3.3566,369.23,26455,42394
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,112,4.1656,466.55,25472,41389
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,73,3.7895,276.63,25448,39016
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,8,4.325,34.6,2669,4635
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,29,3.7566,108.94,8351,13428
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,8,2.0288,16.23,1105,1420
0307 用知識發光 - 複本,120240827446360783,L11-30-50 創業 0917,,6,5.8533,35.12,4073,4824
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,68,3.7687,256.27,20981,38571
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,49,3.3176,162.56,12689,19674
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,25,3.7372,93.43,3514,7941
