廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,112,3.7545,420.5,33868,51803
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,153,3.6141,552.95,36036,62070
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,182,3.8026,692.07,36510,63432
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,80,3.6858,294.86,27379,42395
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,9,3.7322,33.59,2680,4528
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,56,4.4754,250.62,16276,28942
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,8,1.5713,12.57,889,1081
0307 用知識發光 - 複本,120240827446360783,L11-30-50 創業 0917,,5,4.548,22.74,2558,2972
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,62,3.9556,245.25,21200,37267
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,52,3.701,192.45,15152,24037
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,37,5.6835,210.29,7478,17272
0429 定位不明,120244145448770783,L06-25-44-類似受眾_學員 1% 0409,,0,,2.64,163,202
0429 不露臉自媒體 2.0,120244146153240783,L07-25-44-類似受眾_諮詢 1% 0413,,2,5.025,10.05,683,879
0429 用文字決勝,120244146339520783,L06-25-44-類似受眾_名單 2% 0413,,5,4.734,23.67,1742,2134
