廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,21,3.909,82.09,9667,11456
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,34,3.3418,113.62,10111,13049
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,15,5.8853,88.28,5881,7442
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,36,2.8308,101.91,10901,14735
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,1,6.94,6.94,779,961
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,6,2.7633,16.58,1959,2226
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,0,,0.92,71,75
0307 用知識發光 - 複本,120240827446360783,L11-30-50 創業 0917,,1,1.08,1.08,161,162
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,12,4.2892,51.47,6781,8679
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,28,3.1489,88.17,9269,12129
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,15,3.0133,45.2,2270,3964
