廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,28,3.7268,104.35,11317,13801
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,33,3.8897,128.36,11537,15112
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,25,5.004,125.1,8317,10973
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,36,2.8203,101.53,10732,14391
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,2,4.935,9.87,1021,1380
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,9,4.2189,37.97,3706,4561
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,0,,1.08,93,99
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,18,3.5728,64.31,7856,10447
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,26,3.1773,82.61,8236,10897
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,13,3.1962,41.55,2028,3579
